DiaChi,GiaBan,DuAn,DienTich,TinhTrangBDS,Gia/m2,PhongNgu,PhongVeSinh,SoTang,TinhTrangGiayTo,TinhTrangNoiThat,HuongBanCong,HuongCua,DacDiem
"Đường Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Hồ Chí Minh, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh","4,5 tỷ",Sunrise City,100 m²,Đã bàn giao,45 triệu/m²,3 phòng,,,Đã có sổ,Nội thất cao cấp,Bắc,,
"Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","2,85 tỷ",Sunrise Riverside,56 m²,Đã bàn giao,"50,89 triệu/m²",2 phòng,1 phòng,,,,,,
"Chu Văn An, Phường 12, Quận Bình Thạnh, Tp Hồ Chí Minh",4 tỷ,Đất Phương Nam,131 m²,Đã bàn giao,"30,53 triệu/m²",3 phòng,2 phòng,,Đã có sổ,Nội thất cao cấp,Đông Nam,Tây Bắc,Căn góc
"Đường Dương Thị Giang, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh","2,33 tỷ",CTL Tower,70 m²,Đã bàn giao,"33,29 triệu/m²",2 phòng,2 phòng,,,,,,
"Xa Lộ Hà Nội, Phường Thảo Điền (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","4,7 tỷ",Masteri Thảo Điền,65 m²,Đã bàn giao,"72,31 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất cao cấp,,,
"224/5, Quốc Lộ 13, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh","1,585 tỷ",The Morning Star Plaza,30 m²,Đã bàn giao,"52,83 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"Số 01, 104A, Phường Bình Trưng Tây (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","19,5 tỷ",Diamond Island (Đảo Kim Cương),180 m²,Đã bàn giao,"108,33 triệu/m²",3 phòng,2 phòng,,,,,,Căn góc
"Số 207, Số 207 Số 207 Nguyễn Xí, phường 26, quận Bình Thạnh, Tp.HCM, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh","1,83 tỷ",Richmond City,67 m²,Đã bàn giao,"27,31 triệu/m²",2 phòng,2 phòng,,,,,,
"Đường Lương Định Của, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","4,1 tỷ",De Capella,80 m²,Đã bàn giao,"51,25 triệu/m²",2 phòng,2 phòng,,Đang chờ sổ,Hoàn thiện cơ bản,Tây,Đông,
"290, An Dương Vương, Phường 4, Quận 5, Tp Hồ Chí Minh","1,76 tỷ",The Everrich Infinity,81 m²,Đã bàn giao,"21,73 triệu/m²",2 phòng,2 phòng,,Đã có sổ,,,,
"Số 59, Ngô Tất Tố, Phường 21, Quận Bình Thạnh, Tp Hồ Chí Minh","1,85 tỷ",City Garden,70 m²,Đã bàn giao,"26,43 triệu/m²",1 phòng,,,,,,,
"39, 39 Đường Bến Vân Đồn, Phường 13, Quận 4, Tp Hồ Chí Minh","1,42 tỷ",The Tresor,1 m²,Đã bàn giao,"1,42 tỷ/m²",2 phòng,1 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"49C, Lê Quang Kim, Phường 8, Quận 8, Tp Hồ Chí Minh","3,3 tỷ",Diamond Lotus Riverside,58 m²,Đã bàn giao,"56,9 triệu/m²",2 phòng,,,,,,,Căn góc
"Số 504, Nguyễn Tất Thành, Phường 18, Quận 4, Tp Hồ Chí Minh","2,15 tỷ",Riva Park,78 m²,Đã bàn giao,"27,56 triệu/m²",2 phòng,,5,,,,,
"205, Lạc Long Quân, Phường 3, Quận 11, Tp Hồ Chí Minh","1,92 tỷ",Cao ốc RES 11 (Residence Eleven),75 m²,Đã bàn giao,"25,6 triệu/m²",2 phòng,2 phòng,,Đã có sổ,,,,
"DC13, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","2,45 tỷ",TaniBuilding Sơn Kỳ 1,65 m²,Chưa bàn giao,"37,69 triệu/m²",2 phòng,2 phòng,1,Đã có sổ,Nội thất đầy đủ,,,
"196, Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh","2,61 tỷ",Topaz Elite,86 m²,Đã bàn giao,"30,35 triệu/m²",3 phòng,2 phòng,,Đang chờ sổ,Hoàn thiện cơ bản,,,
"đường Tân Chánh Hiệp 21, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh","1,92 tỷ",Hưng Ngân Garden,64 m²,Đã bàn giao,30 triệu/m²,2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,Nam,Đông,Căn góc
